DHSCLUST,anc.n,anc.y,blood.n,blood.y,decision.n,decision.y,educationf.n,educationf.y,educationm.n,educationm.y,employment.n,employment.y,iron.n,iron.y,lbw.n,lbw.y,marriagef15.n,marriagef15.y,marriagef18.n,marriagef18.y,marriagem15.n,marriagem15.y,marriagem18.n,marriagem18.y,urine.n,urine.y,violence.n,violence.y,vitamina.n,vitamina.y,stunted.n,stunted.y,wasted.n,wasted.y,ANC4plus.n,ANC4plus.y,HIVknow.n,HIVknow.y,contraception.n,contraception.y
1,2,1,2,2,9,6,6,5,5,5,9,3,2,2,2,0,18,NA,18,5,8,NA,8,NA,2,2,10,4,NA,NA,2,0,2,0,2,2,17,5,42,17
2,5,4,4,4,0,0,7,6,7,7,0,0,5,4,7,0,18,1,18,4,NA,NA,NA,NA,4,4,0,0,1,1,9,2,9,0,5,4,40,2,82,17
3,2,2,2,2,0,0,5,5,8,8,0,0,2,2,2,0,15,NA,15,3,NA,NA,NA,NA,2,2,0,0,1,0,4,1,4,0,2,2,1,0,32,14
4,5,5,5,5,0,0,9,9,10,9,0,0,5,5,8,3,23,2,23,2,NA,NA,NA,NA,5,5,0,0,2,2,10,1,10,1,5,3,15,4,62,27
5,4,1,2,2,6,2,3,2,4,4,6,0,4,4,6,2,14,1,14,3,8,NA,8,1,2,2,8,1,2,0,8,2,8,0,4,1,10,3,39,12
6,5,2,5,5,0,0,6,5,4,3,0,0,5,5,7,3,9,NA,9,1,NA,NA,NA,NA,5,5,0,0,1,1,9,5,9,0,5,3,NA,NA,101,40
7,5,4,5,5,8,7,4,4,2,1,8,3,5,5,6,2,15,3,15,7,10,NA,10,1,5,5,8,0,2,1,7,3,7,1,5,5,1,1,52,22
8,6,3,3,3,0,0,9,8,7,7,0,0,6,3,4,0,21,2,21,4,NA,NA,NA,NA,3,3,0,0,2,2,8,1,8,0,6,3,NA,NA,82,28
9,4,2,4,4,0,0,1,1,1,1,0,0,4,4,5,0,14,NA,14,3,NA,NA,NA,NA,4,4,0,0,2,2,5,1,5,0,4,2,32,4,73,27
10,2,2,2,2,0,0,3,3,7,4,0,0,2,2,2,1,13,1,13,7,NA,NA,NA,NA,2,2,0,0,NA,NA,2,0,2,1,2,2,NA,NA,19,4
11,5,5,5,5,0,0,0,0,4,3,0,0,5,5,7,0,16,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0,8,4,8,0,5,3,43,11,126,74
12,3,3,3,3,0,0,6,5,11,8,0,0,3,3,4,1,21,5,21,13,NA,NA,NA,NA,3,3,0,0,2,1,5,2,5,1,3,3,39,9,83,31
13,9,3,9,9,0,0,3,3,4,4,0,0,9,9,11,5,13,NA,13,2,NA,NA,NA,NA,9,9,0,0,4,4,10,6,10,2,9,5,25,0,45,7
14,4,2,4,4,7,5,7,5,1,1,7,0,4,4,4,0,18,2,18,8,4,NA,4,NA,4,4,8,4,1,0,4,1,4,1,4,4,53,2,130,21
15,2,2,2,2,10,5,3,3,7,6,10,0,2,2,3,0,18,1,18,5,10,NA,10,NA,2,2,9,0,2,2,4,0,4,1,2,2,NA,NA,94,32
16,6,0,6,6,0,0,10,10,7,6,0,0,6,6,7,4,23,4,23,8,NA,NA,NA,NA,6,6,0,0,2,1,11,0,11,1,6,4,33,2,65,21
17,4,3,3,3,0,0,6,6,4,4,0,0,4,4,7,2,14,1,14,5,NA,NA,NA,NA,3,3,0,0,2,1,6,3,6,0,4,3,NA,NA,170,98
18,5,5,5,5,0,0,5,5,4,4,0,0,5,5,5,1,12,1,12,4,NA,NA,NA,NA,5,5,0,0,0,0,5,1,5,4,5,5,NA,NA,35,10
19,6,6,6,6,14,12,5,5,5,4,14,0,6,6,7,0,22,NA,22,1,14,NA,14,1,6,6,10,2,3,2,8,0,8,1,6,5,NA,NA,73,27
20,1,1,1,1,4,4,3,1,5,5,4,2,1,0,1,0,10,1,10,4,5,NA,5,NA,1,1,5,0,1,1,1,0,1,0,1,1,34,9,138,64
